Date,State,Total,Category,Sales
2023-03-06,Connecticut,85618425.67619047,,85618425.67619047
2023-03-07,Connecticut,86049121.78571428,,86049121.78571428
2023-03-08,Connecticut,86479817.89523809,,86479817.89523809
2023-03-09,Connecticut,86910514.0047619,,86910514.0047619
2023-03-10,Connecticut,87341210.11428571,,87341210.11428571
2023-03-11,Connecticut,87771906.22380953,,87771906.22380953
2023-03-12,Connecticut,88202602.33333333,,88202602.33333333
2023-03-13,Connecticut,88633298.44285713,,88633298.44285713
2023-03-14,Connecticut,89063994.55238095,,89063994.55238095
2023-03-15,Connecticut,89494690.66190475,,89494690.66190475
2023-03-16,Connecticut,89925386.77142857,,89925386.77142857
2023-03-17,Connecticut,90356082.88095237,,90356082.88095237
2023-03-18,Connecticut,90786778.99047619,,90786778.99047619
2023-03-19,Connecticut,91217475.1,Beverages,91217475.1
2023-03-20,Connecticut,90117897.8,,90117897.8
2023-03-21,Connecticut,89018320.5,,89018320.5
2023-03-22,Connecticut,87918743.2,,87918743.2
2023-03-23,Connecticut,86819165.89999999,,86819165.89999999
2023-03-24,Connecticut,85719588.6,,85719588.6
2023-03-25,Connecticut,84620011.3,,84620011.3
2023-03-26,Connecticut,83520434.0,Beverages,83520434.0
2023-03-27,Connecticut,83812290.46190476,,83812290.46190476
2023-03-28,Connecticut,84104146.92380953,,84104146.92380953
2023-03-29,Connecticut,84396003.38571429,,84396003.38571429
2023-03-30,Connecticut,84687859.84761904,,84687859.84761904
2023-03-31,Connecticut,84979716.3095238,,84979716.3095238
2023-04-01,Connecticut,85271572.77142857,,85271572.77142857
2023-04-02,Connecticut,85563429.23333333,,85563429.23333333
2023-04-03,Connecticut,85855285.6952381,,85855285.6952381
2023-04-04,Connecticut,86147142.15714286,,86147142.15714286
2023-04-05,Connecticut,86438998.61904763,,86438998.61904763
2023-04-06,Connecticut,86730855.08095238,,86730855.08095238
2023-04-07,Connecticut,87022711.54285714,,87022711.54285714
2023-04-08,Connecticut,87314568.0047619,,87314568.0047619
2023-04-09,Connecticut,87606424.46666667,,87606424.46666667
2023-04-10,Connecticut,87898280.92857143,,87898280.92857143
2023-04-11,Connecticut,88190137.3904762,,88190137.3904762
2023-04-12,Connecticut,88481993.85238096,,88481993.85238096
2023-04-13,Connecticut,88773850.31428571,,88773850.31428571
2023-04-14,Connecticut,89065706.77619047,,89065706.77619047
2023-04-15,Connecticut,89357563.23809524,,89357563.23809524
2023-04-16,Connecticut,89649419.7,Beverages,89649419.7
2023-04-17,Connecticut,89378413.05714285,,89378413.05714285
2023-04-18,Connecticut,89107406.41428572,,89107406.41428572
2023-04-19,Connecticut,88836399.77142857,,88836399.77142857
2023-04-20,Connecticut,88565393.12857142,,88565393.12857142
2023-04-21,Connecticut,88294386.48571427,,88294386.48571427
2023-04-22,Connecticut,88023379.84285714,,88023379.84285714
2023-04-23,Connecticut,87752373.19999999,Beverages,87752373.19999999
2023-04-24,Connecticut,87805458.2142857,,87805458.2142857
2023-04-25,Connecticut,87858543.22857141,,87858543.22857141
2023-04-26,Connecticut,87911628.24285713,,87911628.24285713
2023-04-27,Connecticut,87964713.25714286,,87964713.25714286
2023-04-28,Connecticut,88017798.27142857,,88017798.27142857
2023-04-29,Connecticut,88070883.28571428,,88070883.28571428
2023-04-30,Connecticut,88123968.3,Beverages,88123968.3
2023-05-01,Connecticut,85276370.6,,85276370.6
2023-05-02,Connecticut,82428772.89999999,Beverages,82428772.89999999
2023-05-03,Connecticut,88221789.39999999,Beverages,88221789.39999999
2023-05-04,Connecticut,88297753.55396825,,88297753.55396825
2023-05-05,Connecticut,88373717.7079365,,88373717.7079365
2023-05-06,Connecticut,88449681.86190476,,88449681.86190476
2023-05-07,Connecticut,88525646.015873,,88525646.015873
2023-05-08,Connecticut,88601610.16984126,,88601610.16984126
2023-05-09,Connecticut,88677574.32380952,,88677574.32380952
2023-05-10,Connecticut,88753538.47777776,,88753538.47777776
2023-05-11,Connecticut,88829502.63174602,,88829502.63174602
2023-05-12,Connecticut,88905466.78571428,,88905466.78571428
2023-05-13,Connecticut,88981430.93968253,,88981430.93968253
2023-05-14,Connecticut,89057395.09365079,,89057395.09365079
2023-05-15,Connecticut,89133359.24761903,,89133359.24761903
